,song,artist,cp,section,Track (last.fm),Artist (last.fm),Listener Count (last.fm),Play Count (last.fm),Genre (last.fm),Track (Spotify),Artist (Spotify),Popularity (Spotify),Release Date (Spotify)
159,Everybody Talks,Neon Trees,"1,4,5",Chorus,Everybody Talks,Neon Trees,382553,2417122,"alternative, indie rock, catchy, summer, indie",Everybody Talks,Neon Trees,74.0,2012-01-01
160,Express Yourself,Charles Wright - The Watts 103rd Street Rhythm Ban,"1,4,5",Intro,,,,,,,,,
161,Express Yourself,Charles Wright,"1,4,5",Intro,Express Yourself,Charles Wright,44565,139843,"funk, soul, funky, GTA, pop",Express Yourself,Charles Wright,39.0,2007-10-01
162,Stray Heart,Green Day,"1,4,5",Verse,Stray Heart,Green Day,74240,477672,"punk rock, rock, alternative, Garage Rock, punk",Stray Heart,Green Day,59.0,2012-11-13
163,Sound Of The Drums,Armin van Buuren,"1,4,5",Chorus,Sound of the Drums,Armin van Buuren,27567,132965,"trance, progressive trance, vocal trance, Armin van Buuren",,,,
164,Two To One,Adam Szabo and Johan Vilborg,"1,4,5",Pre-Chorus,two to one,adam szabo and johan vilborg,2,5,,,,,
165,Material Girl,Madonna,"1,4,5",Chorus,Material Girl,Madonna,486868,2316280,"pop, 80s, Madonna, dance, female vocalists",Material Girl,Madonna,75.0,2009-09-18
166,Two-Headed Boy,Neutral Milk Hotel,"1,4,5",Verse,Two-Headed Boy,Neutral Milk Hotel,516431,3581736,"indie, folk, acoustic, indie rock, neutral milk hotel",Two-Headed Boy,Neutral Milk Hotel,57.0,1998-02-20
167,Acoustic Guitar,Magnetic Fields,"1,4,5",Verse,Acoustic Guitar,The Magnetic Fields,61235,217765,"acoustic, indie pop, indie, rock, female vocalist",Acoustic Guitar,The Magnetic Fields,27.0,1999-09-14
168,Sanxion Loader,Rob Hubbard,"1,4,5",Verse,sanxion loader,Rob Hubbard,60,168,"C64, game ost",,,,
169,Everything You Know Is Wrong,Weird Al Yankovic,"1,4,5",Chorus,Everything You Know Is Wrong,"""Weird Al"" Yankovic",35460,137524,"comedy, parody, They Might Be Giants, rock, pop",Everything You Know Is Wrong,"""Weird Al"" Yankovic",40.0,1996-12-31
170,Bruises,Train,"1,4,5",Verse,Bruises,Train,44791,214863,"country, pop, rock, alternative rock, train",,,,
171,Kick Drum Heart,The Avett Brothers,"1,4,5",Verse,Kick Drum Heart,The Avett Brothers,122512,654449,"folk, indie, Alt-country, catchy, happy",Kick Drum Heart,The Avett Brothers,51.0,2009-01-01
172,Yeah 3x,Chris Brown,"1,4,5",Chorus,Yeah 3X,Chris Brown,248351,1519863,"dance, Chris Brown, pop, rnb, male vocalists",,,,
173,Under pressure,Queen,"1,4,5",Pre-Chorus and Chorus,Under Pressure,Queen,655829,4340282,"classic rock, rock, Queen, 80s, glam rock",Under Pressure,Queen,58.0,1982-05-03
174,Under pressure P2,Queen,"1,4,5",Pre-Chorus,,,,,,,,,
175,Where Your Eyes Don't Go,They Might Be Giants,"1,4,5",Verse,Where Your Eyes Don't Go,They Might Be Giants,26890,116053,"alternative, pop, rock, favorites, Retro",Where Your Eyes Don't Go,They Might Be Giants,25.0,1988
176,Once Upon a Time in your Wildest Dreams,The Moody Blues,"1,4,5",Verse,Once upon a time in your wildest dreams,The Moody Blues,8,33,,,,,
177,Telegraph Line,Schoolhouse Rock,"1,4,5",Chorus,Telegraph Line,Schoolhouse Rock,432,1449,,,,,
178,Dear Boy,Avicii,"1,4,5",Verse,Dear Boy,Avicii,119016,601709,"electronic, House, dance, techno, electronica",Dear Boy,Avicii,60.0,2013-01-01
179,Dear Boy,Avicii,"1,4,5",Chorus,Dear Boy,Avicii,119016,601709,"electronic, House, dance, techno, electronica",Dear Boy,Avicii,60.0,2013-01-01
180,Are You Gonna Kiss Me Or Not,Thompson Square,"1,4,5",Chorus,Are You Gonna Kiss Me or Not,Thompson Square,145978,501704,"country, Are you Gonna Kiss Me or Not, Thompson Square, Love, my favorite",,,,
181,Maybe Baby,Buddy Holly,"1,4,5",Verse,Maybe Baby,Buddy Holly,92589,303677,"50s, rockabilly, oldies, rock n roll, buddy holly",,,,
182,Maybe Baby,Buddy Holly,"1,4,5",Chorus,Maybe Baby,Buddy Holly,92589,303677,"50s, rockabilly, oldies, rock n roll, buddy holly",,,,
183,Hey Ya,Outkast,"1,4,5",Chorus,Hey Ya!,OutKast,878145,3938790,"Hip-Hop, funk, dance, pop, hip hop",Hey Ya!,OutKast,80.0,2003
184,Tonight You Belong to Me,Patience and Prudence,"1,4,5",Verse,Tonight You Belong to Me,Patience & Prudence,28773,163016,"oldies, slightly creepy, ebay, singing kids, kitsch",,,,
185,That Thing You Do,The Wonders,"1,4,5",Intro and Verse,That Thing You Do,The wonders,23931,157573,"Soundtrack, pop, rock, The Wonders, oldies",,,,
186,Together Forever,Rick Astley,"1,4,5",Chorus,Together Forever,Rick Astley,94339,397730,"80s, pop, dance, new wave, synthpop",Together Forever,Rick Astley,27.0,2019-10-25
187,Double Lariat - featuring Megurine Luka,Agoaniki-P,"1,4,5",Intro and Verse,,,,,,,,,
188,El Dorado,Two Steps From Hell,"1,4,5",Chorus,El Dorado,Two Steps from Hell,14481,110246,"beautiful, Trailer Music, Soundtrack, Awesome, orchestral",,,,
189,Good Riddance - Time of Your Life,Green Day,"1,4,5",Intro,Good Riddance - Time of Your Life,Green Day,81,365,,,,,
190,Give me one reason,Tracy Chapman,"1,4,5",Verse,Give Me One Reason,Tracy Chapman,209772,1013178,"blues, female vocalists, folk, singer-songwriter, 90s",Give Me One Reason,Tracy Chapman,71.0,1995-10-31
191,I Love Rock n Roll,Joan Jett,"1,4,5",Chorus,I Love Rock n Roll,Joan Jett,16473,75893,"rock, 80s, hard rock, female vocalists, alternative rock",,,,
192,Red Red Wine,UB40,"1,4,5",Intro and Verse,Red Red Wine,UB40,275839,1147772,"reggae, 80s, pop, british, UB40",Red Red Wine,UB40,76.0,2000
193,Running,Evermore,"1,4,5",Verse,Running,Evermore,17743,121452,"rock, alternative, New Zealand, indie rock, Kiwi",,,,
194,Brick,Ben Folds Five,"1,4,5",Chorus,Brick,Ben Folds Five,299712,1490558,"piano, sad, alternative, piano rock, 90s",Brick,Ben Folds Five,58.0,1997-03-18
195,Never Tear us Apart,INXS,"1,4,5",Verse and Pre-Chorus,Never Tear Us Apart,INXS,395390,2047090,"80s, rock, INXS, pop, australian",Never Tear Us Apart,INXS,61.0,1987
196,Big Boys,Elvis Costello,"1,4,5",Verse,Big Boys,Elvis Costello,10693,36526,"pop, rock, singer-songwriter, catchy, new wave",,,,
197,Concerning Hobbits,Howard Shore,"1,4,5",Verse,Concerning Hobbits,Howard Shore,259192,1474560,"Soundtrack, instrumental, lord of the rings, Classical, celtic",Concerning Hobbits,Howard Shore,66.0,2001-11-19
198,Stay the Night,Zedd,"1,4,5",Verse,Stay the Night,Zedd,44616,251196,"electronic, dance, House, Ballad, 2014",,,,
199,Lay Down Sally,Eric Clapton,"1,4,5",Intro and Verse,Lay Down Sally,Eric Clapton,273503,927141,"classic rock, rock, blues, blues rock, eric clapton",Lay Down Sally,Eric Clapton,61.0,1977-11-01
200,Valder Fields,Tamas Wells,"1,4,5",Verse,Valder Fields,Tamas Wells,8382,45235,"folk, indie pop, singer-songwriter, bands, Favorite",,,,
201,Stir It Up,Bob Marley,"1,4,5",Chorus,Stir It Up,Bob Marley,328987,1527895,"reggae, Bob Marley, roots reggae, chill, 70s",,,,
202,Good Riddance - Time of Your Life,Green Day,"1,4,5",Verse,Good Riddance - Time of Your Life,Green Day,81,365,,,,,
203,Good Riddance - Time of Your Life,Green Day,"1,4,5",Chorus,Good Riddance - Time of Your Life,Green Day,81,365,,,,,
204,Good Riddance - Time of Your Life,Green Day,"1,4,5",Solo,Good Riddance - Time of Your Life,Green Day,81,365,,,,,
205,Wild Thing,The Troggs,"1,4,5",Verse,Wild Thing,The Troggs,322912,1207112,"60s, classic rock, rock, oldies, british",Wild Thing,The Troggs,63.0,1966-07-25
206,Surrender,Cheap Trick,"1,4,5",Verse,Surrender,Cheap Trick,330543,1475372,"classic rock, rock, 70s, power pop, Guitar Hero",Surrender,Cheap Trick,72.0,1978-04
207,If I Could,1927,"1,4,5",Intro and Verse,If I Could,1927,4018,21212,"australian, pop, rock, 80s, AOR",,,,
208,If I Could,1927,"1,4,5",Chorus,If I Could,1927,4018,21212,"australian, pop, rock, 80s, AOR",,,,
209,To Be With You,Mr Big,"1,4,5",Chorus,To Be With You,Mr. Big,293688,1629811,"rock, 90s, rock ballads, classic rock, hard rock",To Be With You,Mr. Big,54.0,1996-11-25
210,Kiss The Girl,Disney,"1,4,5",Chorus,Kiss the Girl,Disney,16314,84176,"Disney, Soundtrack, Awesome, Soundtracks, childrens",,,,
211,Amy,Green Day,"1,4,5",Chorus,Amy,Green Day,45504,243571,"punk rock, rock, pop punk, green day, nostalgia",Amy,Green Day,48.0,2012-11-13
212,Promise,Stacie Orrico,"1,4,5",Verse,Promise,Stacie Orrico,28,101,,,,,
213,Nice Guys,nigahiga,"1,4,5",Bridge,Nice Guys,Nigahiga,578,7081,nice guys,,,,
214,Flame Trees,Sarah Blasko,"1,4,5",Verse,Flame Trees,Sarah Blasko,15528,84320,"australian, covers, female vocalists, singer-songwriter, sarah blasko",,,,
215,Flame Trees,Sarah Blasko,"1,4,5",Chorus,Flame Trees,Sarah Blasko,15528,84320,"australian, covers, female vocalists, singer-songwriter, sarah blasko",,,,
216,After All These Years,Silverchair,"1,4,5",Intro,After All These Years,Silverchair,39848,178858,"rock, Grunge, alternative, australian, alternative rock",,,,
217,The Nips Are Getting Bigger,Mental As Anything,"1,4,5",Intro and Verse,The Nips Are Getting Bigger,Mental As Anything,7696,31016,"australian, Favourites, seen live, 70s, 1979",The Nips Are Getting Bigger,Mental As Anything,28.0,1979-11-01
218,Kaiinbango no Uta,Onyanko Club,"1,4,5",Solo 1,Kaiinbango no Uta,おニャン子クラブ,9,42,,,,,
219,Cliffs of Dover,Eric Johnson,"1,4,5",Verse,Cliffs of Dover,Eric Johnson,191482,1120184,"guitar virtuoso, instrumental rock, instrumental, rock, Guitar Hero",,,,
220,Young and Beautiful,Lana Del Rey,"1,4,5",Verse,Young and Beautiful,Lana Del Rey,569395,5403729,"indie, alternative, Lana Del Rey, female vocalists, The Great Gatsby",,,,
221,The Number of the Beast,Iron Maiden,"1,4,5",Chorus,The Number of the Beast,Iron Maiden,615870,4405255,"heavy metal, metal, Iron Maiden, NWOBHM, hard rock",,,,
222,Young and Beautiful,Lana Del Rey,"1,4,5",Bridge,Young and Beautiful,Lana Del Rey,569395,5403729,"indie, alternative, Lana Del Rey, female vocalists, The Great Gatsby",,,,
223,Blood Brothers,Iron Maiden,"1,4,5",Verse,Blood Brothers,Iron Maiden,251297,1869103,"heavy metal, metal, Iron Maiden, NWOBHM, New Wave of British Heavy Metal",,,,
224,Dark World Theme - The Legend of Zelda ALttP,Koji Kondo,"1,4,5",Pre-Chorus,,,,,,,,,
225,Hey Brother,Avicii,"1,4,5",Pre-Chorus,Hey Brother,Avicii,447893,3461317,"dance, pop, electronic, country house, country",Hey Brother,Avicii,79.0,2013-01-01
226,Working Class Man,Jimmy Barnes,"1,4,5",Verse,Working Class Man,Jimmy Barnes,20255,81424,"rock, classic rock, 80s, australian, Classic Aussie Pub Rock",Working Class Man,Jimmy Barnes,26.0,1985-05-22
227,Working Class Man,Jimmy Barnes,"1,4,5",Intro,Working Class Man,Jimmy Barnes,20255,81424,"rock, classic rock, 80s, australian, Classic Aussie Pub Rock",Working Class Man,Jimmy Barnes,26.0,1985-05-22
228,Princess Kenny,South Park,"1,4,5",Intro and Verse,Princess Kenny,South Park,34,104,,,,,
229,Working Class Man,Jimmy Barnes,"1,4,5",Bridge,Working Class Man,Jimmy Barnes,20255,81424,"rock, classic rock, 80s, australian, Classic Aussie Pub Rock",Working Class Man,Jimmy Barnes,26.0,1985-05-22
230,Harlem,New Politics,"1,4,5",Intro and Verse,Harlem,New Politics,149398,850216,"rock, pop punk, alternative, high-energy, music choice: alternative",Harlem,New Politics,60.0,2013-05-17
231,Super Smash Bros Melee - Onett,Nintendo,"1,4,5",Pre-Chorus and Chorus,Super Smash Bros Melee - Onett,Nintendo,2,2,,,,,
232,Handle With Care,Traveling Wilburys,"1,4,5",Bridge,Handle With Care,Traveling Wilburys,178809,745110,"classic rock, 80s, rock, Supergroup, Travelling Wilburys",Handle With Care,Traveling Wilburys,65.0,1988-10-18
233,Accidently Kelly Street,Frente,"1,4,5",Intro,Accidently Kelly Street,Frente,1047,4102,,,,,
234,If I knew,Helloween,"1,4,5",Chorus,If I Knew,Helloween,29751,137327,"Power metal, heavy metal, Helloween, metal ballads, metal",,,,
235,Ka Nohona Pili Kai,Keali'i Reichel,"1,4,5",Verse,Ka Nohona Pili Kai,Keali'i Reichel,692,4908,"Hawaiian, alternative, world, tropical, polynesian",,,,
236,Joy to the World - Christmas,Casting Crowns,"1,4,5",Verse,,,,,,,,,
237,Berlin,ThePianoGuys,"1,4,5",Intro,Berlin,The Piano Guys,12812,82973,classical crossover,Berlin,The Piano Guys,38.0,2013-05-07
238,King of Anything,Sara Bareilles,"1,4,5",Intro,King of Anything,Sara Bareilles,213970,1356528,"pop, female vocalists, piano, catchy, sara bareilles",King of Anything,Sara Bareilles,66.0,2010-09-07
239,Flight,Tristam and Braken Monstercat,"1,4,5",Instrumental,,,,,,,,,
240,Wreck It Wreck-It Ralph,Buckner and Garcia,"1,4,5",Chorus,,,,,,,,,
241,I See Right Through To You,Dj Encore feat Engelina,"1,4,5",Chorus,I See Right Through to You,DJ Encore,34126,190377,"vocal trance, trance, dance, electronic, female vocalists",,,,
242,I See Right Through To You,Dj Encore feat Engelina,"1,4,5",Instrumental,I See Right Through to You,DJ Encore,34126,190377,"vocal trance, trance, dance, electronic, female vocalists",,,,
243,Famous,Archie,"1,4,5",Chorus,Famous,Archie,377,2708,"dance, House, Progressive House, EDM",,,,
244,Hall om mig,Petter - Daniel Adams-Ray,"1,4,5",Chorus,,,,,,,,,
245,Maybe I Like It,IDA,"1,4,5",Chorus,Maybe I Like It,Ida,2123,10755,,,,,
246,How Do You Do,Roxette,"1,4,5",Verse,How Do You Do,Roxette,49570,284187,"80s, pop, rock, swedish, 90s",,,,
247,How Do You Do,Roxette,"1,4,5",Chorus,How Do You Do,Roxette,49570,284187,"80s, pop, rock, swedish, 90s",,,,
248,Whiskey Lullaby,Brad Paisley and Alison Krauss,"1,4,5",Verse and Pre-Chorus,Whiskey Lullaby,Brad Paisley,71912,350877,"country, sad, brad paisley, duet, my favorite",Whiskey Lullaby,Brad Paisley,64.0,2003-01-01
249,Alive,Krewella,"1,4,5",Intro,Alive,Krewella,143478,1005263,"electronic, House, dubstep, dance, Progressive House",Alive,Krewella,57.0,2012-06-18
250,Pressure,Nadia Ali,"1,4,5",Intro and Verse,Pressure,Nadia Ali,1214,8588,,,,,
251,Pressure,Nadia Ali,"1,4,5",Pre-Outro,Pressure,Nadia Ali,1214,8588,,,,,
252,Dead,They Might Be Giants,"1,4,5",Verse,Dead,They Might Be Giants,58610,225071,"alternative, death, silly, piano, rock",,,,
253,Jackisanerd,Jacksfilms,"1,4,5",Intro,,,,,,,,,
254,Teenager in Love,Dion and the Belmonts,"1,4,5",Chorus,Teenager in Love,Dion & The Belmonts,8360,27566,"oldies, Rock and Roll, 50s, pop, rockabilly",,,,
255,It All Makes Sense at the End,Hank Green,"1,4,5",Chorus,It All Makes Sense At The End,Hank Green,1226,8593,,,,,
256,It All Makes Sense at the End,Hank Green,"1,4,5",Verse,It All Makes Sense At The End,Hank Green,1226,8593,,,,,
257,Carry On,Fun,"1,4,5",Chorus,Carry On,Fun,5402,34310,"fun, fun metal, Carry On, fun rock, fun songs",,,,
258,All Alone,Fun,"1,4,5",Chorus,All Alone,Fun,2423,12668,,,,,
259,Kirby Air Ride - Sky Sands,Nintendo,"1,4,5",Intro and Verse,,,,,,,,,
260,Dear Boy,Avicii,"1,4,5",Pre-Chorus and Chorus,Dear Boy,Avicii,119016,601709,"electronic, House, dance, techno, electronica",Dear Boy,Avicii,60.0,2013-01-01
261,Undo-Full-Metal-Alchemist-FMA-OP3,Cool Joke,"1,4,5",Chorus,,,,,,,,,
262,Mode 7,PrototypeRaptor,"1,4,5",Chorus,Mode 7,PrototypeRaptor,1443,11395,,,,,
263,Route 1 - 1st generation,Pokemon,"1,4,5",Instrumental,,,,,,,,,
264,Turkish March,Mozart,"1,4,5",Chorus,Turkish March,Wolfgang Amadeus Mozart,37121,120545,"Classical, piano, mozart, Wolfgang Amadeus Mozart, march",,,,
265,Pinball Wizard,The Who,"1,4,5",Pre-Chorus and Chorus,Pinball Wizard,The Who,576805,2552603,"classic rock, rock, 60s, the who, british",Pinball Wizard,The Who,68.0,1969-05-23
266,Picture ft Sheryl Crow,Kid Rock,"1,4,5",Verse,PICTURE FT SHERYL CROW,Kid Rock,63,409,,,,,
267,Around The World,Arty,"1,4,5",Chorus,Around the World,Arty,8119,30627,"trance, progressive trance, House, Progressive House, electronic",,,,
268,Fins,Jimmy Buffett,"1,4,5",Verse,Fins,Jimmy Buffett,34729,128447,"beach music, singer-songwriter, Jimmy Buffett, rock, Beach",Fins,Jimmy Buffett,48.0,1985-01-01
269,Die Young,Kesha,"1,4,5",Pre-Chorus,Die Young,Ke$ha,406021,4855624,"pop, dance, party, female vocalists, catchy",,,,
270,This Side Of The Blue,Joanna Newsom,"1,4,5",Verse,This Side of the Blue,Joanna Newsom,145434,730145,"folk, female vocalists, indie, singer-songwriter, Joanna Newsom",,,,
271,Elysium,Audien,"1,4,5",Pre-Chorus,Elysium,Audien,1570,6024,,,,,
272,Ana Ng,They Might Be Giants,"1,4,5",Chorus,Ana Ng,They Might Be Giants,88997,494712,"alternative, rock, favorites, geek rock, indie",Ana Ng,They Might Be Giants,39.0,1988
273,I Could Be The One,Avicii vs Nicky Romero,"1,4,5",Chorus Lead-Out,I could be the one,Avicii vs. Nicky Romero,20980,169216,"House, trance, electronic, urban, electro house",,,,
274,Mario Kart Wii - Daisy Circuit,Nintendo - Asuka Ohta - Ryo Nagamatsu,"1,4,5",Verse,,,,,,,,,
275,Whoa Oh Me vs Everyone,Forever The Sickest Kids,"1,4,5",Intro,Whoa Oh Me vs Everyone,Forever the Sickest Kids,3623,31000,"shawn, finn, Love this song, fucking love this song, so fucking cute",,,,
276,Worries,Langhorne Slim,"1,4,5",Verse,Worries,Langhorne Slim,15520,55999,"folk, happy, cute, Alt-country, intimate",Worries,Langhorne Slim,31.0,2008-02-23
277,Yasashisa no Riyuu-Hyouka-OP,Choucho,"1,4,5",Chorus,,,,,,,,,
278,Earthbound Zero - Pollyanna,Nintendo,"1,4,5",Intro,,,,,,,,,
279,Einmal Um Die Welt,Cro,"1,4,5",Intro,Einmal um die Welt,Cro,71237,669294,"german, hip hop, pop, rap, happy",Einmal um die Welt,Cro,60.0,2012-07-06
280,Downtown Train,Everything But The Girl,"1,4,5",Solo,Downtown Train,Everything But the Girl,15786,72965,"cover, covers, tom waits cover, acoustic, Tom Waits",,,,
281,Downtown Train,Everything But The Girl,"1,4,5",Chorus,Downtown Train,Everything But the Girl,15786,72965,"cover, covers, tom waits cover, acoustic, Tom Waits",,,,
282,Linda Linda,The Blue Hearts,"1,4,5",Chorus,Linda Linda,The Blue Hearts,7131,60042,"japanese punk, punk, J-rock, Soundtrack, japanese",,,,
283,Linda Linda,The Blue Hearts,"1,4,5",Verse,Linda Linda,The Blue Hearts,7131,60042,"japanese punk, punk, J-rock, Soundtrack, japanese",,,,
284,Blitzkrieg Bop,The Ramones,"1,4,5",Verse,Blitzkrieg Bop,Ramones,661593,3822412,"punk, punk rock, 70s, rock, classic rock",Blitzkrieg Bop,Ramones,52.0,2017-04-14
285,Guns And Horses,Ellie Goulding,"1,4,5",Chorus,Guns and Horses,Ellie Goulding,317084,2423852,"pop, female vocalists, british, indie, electronic",,,,
286,I Will,The Beatles,"1,4,5",Verse,I Will,The Beatles,402434,2031366,"classic rock, 60s, rock, pop, The Beatles",,,,
287,We Are,One piece,"1,4,5",Intro,We Are,One Piece,884,6783,,,,,
288,When There Was Me and You - High School Musical,Vanessa Hudgens,"1,4,5",Intro and Verse,When There Was Me And You - High School Musical,Vanessa Hudgens,1,3,,,,,
289,When There Was Me and You - High School Musical,Vanessa Hudgens,"1,4,5",Solo,When There Was Me And You - High School Musical,Vanessa Hudgens,1,3,,,,,
290,The Shining Needle Castle Sinking in the Air,ZUN,"1,4,5",Intro,The Shining Needle Castle Sinking in the Air,上海アリス幻樂団,212,2254,,,,,
291,I Can See For Miles,The Who,"1,4,5",Pre-Chorus and Chorus,I Can See for Miles,The Who,483358,1680041,"classic rock, 60s, rock, the who, british",,,,
292,Theme Of Prontera,SoundTeMP,"1,4,5",Chorus,Theme of Prontera,soundTeMP,5597,56288,"instrumental, Ragnarok Online, Soundtrack, ambient, ost",,,,
293,Kuk,Ogge,"1,4,5",Verse,Kuk,ogge,110,581,,,,,
294,The Great Fairy Wars - Fairy Wars,ZUN,"1,4,5",Chorus,,,,,,,,,
295,Russian Unicorn,Bad Lip Reading,"1,4,5",Chorus,Russian Unicorn,Bad Lip Reading,2999,22427,,Russian Unicorn,Bad Lip Reading,26.0,2011-07-10
296,Everyone Else Has Had More Sex Than Me,TISM,"1,4,5",Chorus,Everyone Else Has Had More Sex Than Me,TISM,14231,95871,"rock, alternative, comedy, humour, australian",,,,
297,Guiding Light,Muse,"1,4,5",Verse,Guiding Light,Muse,413257,2780152,"alternative rock, rock, alternative, british, Muse",Guiding Light,Muse,51.0,2009-09-10
298,Revolution,The Beatles,"1,4,5",Chorus,Revolution,The Beatles,426029,2346542,"classic rock, rock, 60s, The Beatles, british",,,,
299,The Sims 2 - Seasons Theme,Mark Mothersbaugh,"1,4,5",Pre-Chorus and Chorus,,,,,,,,,
300,My Doorbell,The White Stripes,"1,4,5",Intro,My Doorbell,The White Stripes,500696,2582565,"rock, alternative, alternative rock, indie, The White Stripes",,,,
301,Kingdom ,Archie feat Brenton Mattheus,"1,4,5",Verse and Pre-Chorus,,,,,,,,,
302,Super Mario Bros Overworld Theme,Koji Kondo,"1,4,5",Intro and Verse,,,,,,,,,
303,Heartbeats,Grum,"1,4,5",Chorus,Heartbeats,Grum,43246,245363,"electronic, electro, House, electropop, addicting",Heartbeats,Grum,35.0,2010
304,Super Mario Bros Overworld Theme,Koji Kondo,"1,4,5",Outro,,,,,,,,,
305,Built To Scale,Rhythm Heaven,"1,4,5",Verse,Built to Scale,Rhythm Heaven,13,39,,,,,
306,Start of Something New,High School Musical,"1,4,5",Pre-Chorus and Chorus,Start of Something New,High School Musical,39345,191610,"High School Musical, musical, pop, Disney, Soundtrack",,,,
307,Start of Something New,High School Musical,"1,4,5",Outro,Start of Something New,High School Musical,39345,191610,"High School Musical, musical, pop, Disney, Soundtrack",,,,
